N,PoW_accepted_blocks_mean,PoW_accepted_blocks_sd,PoW_accepted_blocks_ci95_low,PoW_accepted_blocks_ci95_high,PoW_closed_rounds_mean,PoW_blocks_per_hour_mean,PoW_mean_block_interval_mean,PoW_median_block_interval_mean,PoW_sd_block_interval_mean,PoW_p95_block_interval_mean,PoW_stale_blocks_total,PoW_stale_rate_mean,PoCol_accepted_blocks_mean,PoCol_accepted_blocks_sd,PoCol_accepted_blocks_ci95_low,PoCol_accepted_blocks_ci95_high,PoCol_closed_rounds_mean,PoCol_blocks_per_hour_mean,PoCol_mean_block_interval_mean,PoCol_median_block_interval_mean,PoCol_sd_block_interval_mean,PoCol_p95_block_interval_mean,PoCol_stale_blocks_total,PoCol_stale_rate_mean,block_retention_mean,block_retention_median,block_retention_ci95_low,block_retention_ci95_high,block_retention_n_defined,latency_ratio_mean,latency_ratio_median,latency_ratio_ci95_low,latency_ratio_ci95_high,latency_ratio_n_defined,latency_ratio_n_undefined_NA
100,16.3,4.395530645459364,14.658681882677183,17.94131811732282,16.3,5.867999999999999,642.4052608868943,431.2538252764965,639.6827274673426,1767.2852845751472,0,0.0,16.133333333333333,4.280938773401133,14.534804524259657,17.73186214240701,16.133333333333333,5.807999999999999,648.289582292349,437.4591910622216,642.8358292794221,1773.444137984849,0,0.0,0.9915053333817636,1.0,0.9824356176429934,1.0005750491205339,30,1.0191708341724688,1.0,0.9858103200555192,1.0525313482894185,30,0
200,16.6,4.832362169574114,14.795566310843341,18.40443368915666,16.6,5.976,634.3727869242194,432.9547625235044,605.8554416632115,1672.7073458716764,0,0.0,16.566666666666666,4.797149536772949,14.77538159068937,18.357951742643962,16.566666666666666,5.964,635.4582312383128,434.96539224887783,607.3946613555232,1677.8630708938547,0,0.0,0.9984848484848484,1.0,0.9953860156937383,1.0015836812759586,30,1.00717238145546,1.0,0.9918293369688717,1.0225154259420484,30,0
300,15.733333333333333,4.35441379983918,14.107368498489226,17.35929816817744,15.733333333333333,5.664000000000001,626.2169160459483,456.2049573563028,588.8935708455559,1567.6126472806766,0,0.0,15.666666666666666,4.3178325767588,14.05436148501089,17.278971848322442,15.666666666666666,5.640000000000001,628.0570709562194,456.44111869028893,591.2151742477433,1564.2010875275635,0,0.0,0.9961697722567288,1.0,0.9905569834974637,1.0017825610159938,30,1.0000162717617798,1.0,0.9953223051143381,1.0047102384092215,30,0
400,17.266666666666666,4.517653749713324,15.579747032775469,18.953586300557863,17.266666666666666,6.216,565.0734654441544,431.84948752498747,467.3519204049167,1340.1153139186315,0,0.0,17.166666666666668,4.495847381546767,15.48788966446927,18.845443668864064,17.166666666666668,6.179999999999999,565.3165467349177,426.9641791535398,469.63267716388964,1342.1224170967246,0,0.0,0.9945238095238095,1.0,0.9882019538173233,1.0008456652302957,30,0.9829186230312672,1.0,0.9580724797980722,1.0077647662644622,30,0
500,16.933333333333334,3.832108749926647,15.502400409386313,18.364266257280356,16.933333333333334,6.096,574.7424918811752,430.18657335669144,496.34819167210014,1460.533430311489,0,0.0,16.9,3.8268560968772913,15.471028448935868,18.32897155106413,16.9,6.084,577.6254905976527,429.3647615610622,498.3997126962538,1466.1730055343253,0,0.0,0.9981481481481481,1.0,0.9943606858479024,1.0019356104483939,30,0.9974760716328767,1.0,0.98047484400201,1.0144772992637434,30,0
