run_id,pow_run_id,N,seed,seed_index,alpha,alpha_label,P_active_W_per_miner,P_low_W_per_miner,PoW_energy_J,PoW_energy_kWh,PoCol_energy_J,PoCol_energy_kWh,PoCol_active_energy_kWh,PoCol_low_power_energy_kWh,paired_energy_difference_kWh,paired_energy_saving_fraction,PoW_energy_per_accepted_block_kWh,PoCol_energy_per_accepted_block_kWh,PoW_energy_per_closed_round_kWh,PoCol_energy_per_closed_round_kWh,PoW_accepted_blocks,PoCol_accepted_blocks,block_retention,PoW_median_block_interval,PoCol_median_block_interval,latency_ratio,low_power_fraction,active_miner_seconds,low_power_miner_seconds,alpha_case
8X_N100_POCOL_seed001,8X_N100_POW_seed001,100,5276648305985929199,1,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3502845379.865764,973.0126055182678,973.0126055182678,0.0,-1.9873944817321672,0.002038353314597119,51.31578947368421,51.21118976411936,51.31578947368421,51.21118976411936,19,19,1.0,283.32760239709523,283.32760239709523,1.0,0.002038353314596813,997961.646685403,2038.353314596813,LP0
8X_N100_POCOL_seed001,8X_N100_POW_seed001,100,5276648305985929199,1,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3503560841.8791876,973.211344966441,973.0126055182678,0.19873944817318928,-1.7886550335590528,0.0018345179831374958,51.31578947368421,51.221649735075836,51.31578947368421,51.221649735075836,19,19,1.0,283.32760239709523,283.32760239709523,1.0,0.002038353314596813,997961.646685403,2038.353314596813,LP10
8X_N100_POCOL_seed001,8X_N100_POW_seed001,100,5276648305985929199,1,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3504634034.899323,973.5094541387008,973.0126055182678,0.4968486204329732,-1.4905458612992106,0.0015287649859478947,51.31578947368421,51.23733969151057,51.31578947368421,51.23733969151057,19,19,1.0,283.32760239709523,283.32760239709523,1.0,0.002038353314596813,997961.646685403,2038.353314596813,LP25
8X_N100_POCOL_seed001,8X_N100_POW_seed001,100,5276648305985929199,1,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3506422689.9328814,974.0063027591337,973.0126055182678,0.9936972408659464,-0.9936972408662541,0.0010191766572986705,51.31578947368421,51.26348961890178,51.31578947368421,51.26348961890178,19,19,1.0,283.32760239709523,283.32760239709523,1.0,0.002038353314596813,997961.646685403,2038.353314596813,LP50
8X_N100_POCOL_seed002,8X_N100_POW_seed002,100,628757264142989241,2,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3504929828.5393667,973.591619038713,973.591619038713,0.0,-1.40838096128698,0.0014444932936277244,48.75,48.67958095193565,48.75,48.67958095193565,20,20,1.0,406.70414851180294,406.7041485118025,0.9999999999999989,0.0014444932936274269,998555.5067063723,1444.493293627427,LP0
8X_N100_POCOL_seed002,8X_N100_POW_seed002,100,628757264142989241,2,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3505436845.68543,973.7324571348416,973.591619038713,0.14083809612867412,-1.2675428651583616,0.0013000439642649742,48.75,48.68662285674208,48.75,48.68662285674208,20,20,1.0,406.70414851180294,406.7041485118025,0.9999999999999989,0.0014444932936274269,998555.5067063723,1444.493293627427,LP10
8X_N100_POCOL_seed002,8X_N100_POW_seed002,100,628757264142989241,2,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3506197371.404525,973.9437142790347,973.591619038713,0.3520952403216853,-1.0562857209653203,0.0010833699702208488,48.75,48.69718571395173,48.75,48.69718571395173,20,20,1.0,406.70414851180294,406.7041485118025,0.9999999999999989,0.0014444932936274269,998555.5067063723,1444.493293627427,LP25
8X_N100_POCOL_seed002,8X_N100_POW_seed002,100,628757264142989241,2,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3507464914.269683,974.2958095193563,973.591619038713,0.7041904806433706,-0.7041904806436605,0.0007222466468139732,48.75,48.71479047596782,48.75,48.71479047596782,20,20,1.0,406.70414851180294,406.7041485118025,0.9999999999999989,0.0014444932936274269,998555.5067063723,1444.493293627427,LP50
8X_N100_POCOL_seed003,8X_N100_POW_seed003,100,5212820311653467928,3,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3501553921.696395,972.6538671378875,972.6538671378875,0.0,-2.3461328621125404,0.002406290114987275,121.875,121.58173339223593,121.875,121.58173339223593,8,8,1.0,1034.500121080045,1036.8503176201493,1.0022718185258894,0.002406290114987274,997593.7098850128,2406.290114987274,LP0
8X_N100_POCOL_seed003,8X_N100_POW_seed003,100,5212820311653467928,3,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3502398529.5267553,972.8884804240987,972.6538671378875,0.23461328621125924,-2.1115195759012977,0.002165661103488481,121.875,121.61106005301234,121.875,121.61106005301234,8,8,1.0,1034.500121080045,1036.8503176201493,1.0022718185258894,0.002406290114987274,997593.7098850128,2406.290114987274,LP10
8X_N100_POCOL_seed003,8X_N100_POW_seed003,100,5212820311653467928,3,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3503665441.2722964,973.2404003534157,972.6538671378875,0.5865332155281481,-1.75959964658432,0.0018047175862403453,121.875,121.65505004417696,121.875,121.65505004417696,8,8,1.0,1034.500121080045,1036.8503176201493,1.0022718185258894,0.002406290114987274,997593.7098850128,2406.290114987274,LP25
8X_N100_POCOL_seed003,8X_N100_POW_seed003,100,5212820311653467928,3,0.5,LP50,3510.0,1755.0,3510000000.0,975.0,3505776960.8481975,973.8269335689438,972.6538671378875,1.1730664310562962,-1.1730664310562133,0.0012031450574935265,121.875,121.72836669611797,121.875,121.72836669611797,8,8,1.0,1034.500121080045,1036.8503176201493,1.0022718185258894,0.002406290114987274,997593.7098850128,2406.290114987274,LP50
8X_N100_POCOL_seed004,8X_N100_POW_seed004,100,1493634387465783589,4,0.0,LP0,3510.0,0.0,3510000000.0,975.0,3501387108.5426545,972.6075301507374,972.6075301507374,0.0,-2.392469849262625,0.002453815230012979,54.166666666666664,60.787970634421086,54.166666666666664,60.787970634421086,18,16,0.8888888888888888,389.5636559533716,546.7214848678,1.4034201510143933,0.002453815230013057,997546.184769987,2453.815230013057,LP0
8X_N100_POCOL_seed004,8X_N100_POW_seed004,100,1493634387465783589,4,0.1,LP10,3510.0,351.0,3510000000.0,975.0,3502248397.6883893,972.8467771356637,972.6075301507374,0.23924698492627303,-2.1532228643362714,0.0022084337070115145,54.166666666666664,60.80292357097898,54.166666666666664,60.80292357097898,18,16,0.8888888888888888,389.5636559533716,546.7214848678,1.4034201510143933,0.002453815230013057,997546.184769987,2453.815230013057,LP10
8X_N100_POCOL_seed004,8X_N100_POW_seed004,100,1493634387465783589,4,0.25,LP25,3510.0,877.5,3510000000.0,975.0,3503540331.406991,973.2056476130531,972.6075301507374,0.5981174623156826,-1.7943523869469118,0.001840361422509651,54.166666666666664,60.82535297581582,54.166666666666664,60.82535297581582,18,16,0.8888888888888888,389.5636559533716,546.7214848678,1.4034201510143933,0.002453815230013057,997546.184769987,2453.815230013057,LP25
