N,miner_hashrate_THs,active_power_W_per_miner,efficiency_J_per_TH,aggregate_hashrate_THs,aggregate_hashrate_PHs,aggregate_hashrate_Hps,aggregate_full_power_W,aggregate_full_power_kW,aggregate_full_power_MW,difficulty_D_N,target,q_per_candidate,expected_hashes_per_block,nonce_domain_S_N,range_per_miner_L,p_epoch_exhaustion_predicted,target_block_interval_s,horizon_s
100,234.0,3510.0,15.0,23400.0,23.4,2.34e+16,351000.0,351.0,0.351,3268942236.9003296,0x00000000000000015059d3de1c28ab2fd76c4c7278659dd554855b5237a863f3,7.122507122507123e-20,1.404e+19,14040000000000000000,140400000000000000,0.36788,600.0,10000.0
200,234.0,3510.0,15.0,46800.0,46.8,4.68e+16,702000.0,702.0,0.702,6537884473.800659,0x0000000000000000a82ce9ef0e145597ebb626393c32ceeaaa42ada91bd431f9,3.5612535612535614e-20,2.808e+19,28080000000000000000,140400000000000000,0.36788,600.0,10000.0
300,234.0,3510.0,15.0,70200.0,70.2,7.02e+16,1053000.0,1053.0,1.053,9806826710.700989,0x0000000000000000701df14a0962e3ba9d24197b7d77349c7181c91b67e2cbfb,2.3741690408357075e-20,4.212e+19,42120000000000000000,140400000000000000,0.36788,600.0,10000.0
400,234.0,3510.0,15.0,93600.0,93.6,9.36e+16,1404000.0,1404.0,1.404,13075768947.601318,0x0000000000000000541674f7870a2acbf5db131c9e196775552156d48dea18fc,1.7806267806267807e-20,5.616e+19,56160000000000000000,140400000000000000,0.36788,600.0,10000.0
500,234.0,3510.0,15.0,117000.0,117.0,1.17e+17,1755000.0,1755.0,1.755,16344711184.501648,0x000000000000000043452a5f9f3b556ff7e275b07e7ab92aaa811243a4bb4730,1.4245014245014244e-20,7.02e+19,70200000000000000000,140400000000000000,0.36788,600.0,10000.0
