composition,N,protocol,alpha_case,alpha,is_idealized_alpha,EnergySaving_mean,EnergySaving_boot_ci_low,saving_gt_50pct,saving_gt_50pct_ci_lower,BlockRetention_mean,retention_ge_90pct,retention_ge_95pct,LatencyRatio_median,latency_le_1p10,outcome
H0,100,P0_ALL,alpha_0,0.0,True,0.0019281955145155768,0.0017704277286931579,False,False,1.0,True,True,1.0002028313456628,True,D
H0,100,P0_ALL,alpha_005,0.05,False,0.0018317857387898,0.0016819063422585131,False,False,1.0,True,True,1.0002028313456628,True,D
H0,100,P0_ALL,alpha_010,0.1,False,0.0017353759630639935,0.0015933849558238387,False,False,1.0,True,True,1.0002028313456628,True,D
H0,100,P0_ALL,alpha_025,0.25,False,0.0014461466358866731,0.0013278207965198836,False,False,1.0,True,True,1.0002028313456628,True,D
H0,100,P0_ALL,alpha_050,0.5,False,0.0009640977572577634,0.0008852138643465464,False,False,1.0,True,True,1.0002028313456628,True,D
H0,100,P3_ENERGY,alpha_0,0.0,True,0.4013062849120062,0.4012365029305463,False,False,0.6398100141546432,False,False,1.835778984553958,False,D
H0,100,P3_ENERGY,alpha_005,0.05,False,0.3812409706664059,0.381174677784019,False,False,0.6398100141546432,False,False,1.835778984553958,False,D
H0,100,P3_ENERGY,alpha_010,0.1,False,0.36117565642080574,0.3611128526374917,False,False,0.6398100141546432,False,False,1.835778984553958,False,D
H0,100,P3_ENERGY,alpha_025,0.25,False,0.3009797136840047,0.3009273771979097,False,False,0.6398100141546432,False,False,1.835778984553958,False,D
H0,100,P3_ENERGY,alpha_050,0.5,False,0.2006531424560031,0.20061825146527318,False,False,0.6398100141546432,False,False,1.835778984553958,False,D
H0,100,P4_RESERVE,alpha_0,0.0,True,0.4312290956113373,0.41627558672008147,False,False,0.57420825184572,False,False,1.9340951899102592,False,D
H0,100,P4_RESERVE,alpha_005,0.05,False,0.40966764083077056,0.3954618073840775,False,False,0.57420825184572,False,False,1.9340951899102592,False,D
H0,100,P4_RESERVE,alpha_010,0.1,False,0.3881061860502036,0.3746480280480734,False,False,0.57420825184572,False,False,1.9340951899102592,False,D
H0,100,P4_RESERVE,alpha_025,0.25,False,0.323421821708503,0.3122066900400611,False,False,0.57420825184572,False,False,1.9340951899102592,False,D
H0,100,P4_RESERVE,alpha_050,0.5,False,0.21561454780566863,0.20813779336004073,False,False,0.57420825184572,False,False,1.9340951899102592,False,D
H0,300,P0_ALL,alpha_0,0.0,True,0.0024170205878116667,0.002256378788281241,False,False,1.0,True,True,1.0003650598195637,True,D
H0,300,P0_ALL,alpha_005,0.05,False,0.0022961695584210666,0.0021435598488671864,False,False,1.0,True,True,1.0003650598195637,True,D
H0,300,P0_ALL,alpha_010,0.1,False,0.002175318529030507,0.002030740909453117,False,False,1.0,True,True,1.0003650598195637,True,D
H0,300,P0_ALL,alpha_025,0.25,False,0.00181276544085866,0.001692284091210893,False,False,1.0,True,True,1.0003650598195637,True,D
H0,300,P0_ALL,alpha_050,0.5,False,0.0012085102939056833,0.0011281893941404947,False,False,1.0,True,True,1.0003650598195637,True,D
H0,300,P3_ENERGY,alpha_0,0.0,True,0.40162946863662324,0.4015642710904772,False,False,0.5941449992577331,False,False,2.0756606399919924,False,D
