composition,N,protocol,alpha_case,alpha,is_idealized_alpha,pairs,PoW_energy_kWh_mean,PoCol_energy_kWh_mean,EnergySaving_mean,EnergySaving_median,EnergySaving_sd,EnergySaving_ci95_low,EnergySaving_ci95_high,EnergySaving_boot_ci95_low,EnergySaving_boot_ci95_high,exceeds_50pct_mean,exceeds_50pct_ci_lower,exceeds_50pct_boot_ci_lower,one_sided_p_greater_50pct,seed_fraction_exceeding_50pct
H2,300,P0_ALL,alpha_010,0.1,False,30,2740.8333333333326,2735.1454481381975,0.002075239353652343,0.0021716028047853502,0.00043602544778375543,0.0019124247756671904,0.0022380539316374957,0.0019241031222569879,0.0022316658902212148,False,False,False,1.0,0.0
H2,300,P0_ALL,alpha_025,0.25,False,30,2740.8333333333326,2736.0934290040536,0.001729366128043607,0.0018096690039878,0.00036335453981976856,0.0015936873130559899,0.001865044943031224,0.0016034192685474543,0.001859721575184347,False,False,False,1.0,0.0
H2,300,P0_ALL,alpha_050,0.5,False,30,2740.8333333333326,2737.6733971138133,0.0011529107520290732,0.0012064460026586501,0.00024223635987984178,0.0010624582087039966,0.0012433632953541497,0.0010689461790316394,0.0012398143834562684,False,False,False,1.0,0.0
H2,300,P3_ENERGY,alpha_0,0.0,True,30,2740.8333333333326,1264.3177485478377,0.5387104596359363,0.5387073433185512,0.00016853093165744194,0.5386475291518219,0.5387733901200508,0.5386517710477936,0.5387705068939592,True,True,True,1.510276701557557e-70,1.0
H2,300,P3_ENERGY,alpha_005,0.05,False,30,2740.8333333333326,1338.1435277871126,0.5117749366541395,0.5117719761526236,0.0001601043850745775,0.5117151526942308,0.5118347206140482,0.5117191824954039,0.5118319815492614,True,True,True,3.3211341213394046e-56,1.0
H2,300,P3_ENERGY,alpha_010,0.1,False,30,2740.8333333333326,1411.9693070263877,0.48483941367234273,0.484836608986696,0.00015167783849170133,0.48478277623663973,0.48489605110804573,0.48478659394301427,0.4848934562045633,False,False,False,1.0,0.0
H2,300,P3_ENERGY,alpha_025,0.25,False,30,2740.8333333333326,1633.4466447442117,0.4040328447269522,0.40403050748891334,0.00012639819874307124,0.4039856468638664,0.40408004259003805,0.40398882828584515,0.4040778801704695,False,False,False,1.0,0.0
H2,300,P3_ENERGY,alpha_050,0.5,False,30,2740.8333333333326,2002.5755409405858,0.26935522981796817,0.2693536716592756,8.426546582872883e-05,0.26932376457591095,0.2693866950600254,0.2693258855238968,0.2693852534469796,False,False,False,1.0,0.0
H2,300,P4_RESERVE,alpha_0,0.0,True,30,2740.8333333333326,1471.7187962548403,0.463039660837395,0.4694899287605646,0.04554209201995309,0.44603396419634245,0.48004535747844757,0.44678092216116827,0.4789823448196369,False,False,False,0.9999409245195932,0.23333333333333334
H2,300,P4_RESERVE,alpha_005,0.05,False,30,2740.8333333333326,1535.1745231087648,0.4398876777955252,0.4460154323225364,0.043264987418955424,0.42373226598652525,0.4560430896045251,0.42444187605310985,0.45503322757865533,False,False,False,0.9999999891506285,0.06666666666666667
H2,300,P4_RESERVE,alpha_010,0.1,False,30,2740.8333333333326,1598.6302499626888,0.41673569475365557,0.42254093588450814,0.04098788281795777,0.40143056777670827,0.4320408217306029,0.40210282994505137,0.4310841103376734,False,False,False,0.9999999999972246,0.0
H2,300,P4_RESERVE,alpha_025,0.25,False,30,2740.8333333333326,1788.9974305244634,0.3472797456280462,0.35211744657042354,0.03415656901496481,0.3345254731472568,0.3600340181088356,0.33508569162087626,0.3592367586147278,False,False,False,1.0,0.0
H2,300,P4_RESERVE,alpha_050,0.5,False,30,2740.8333333333326,2106.276064794087,0.23151983041869753,0.23474496438028242,0.022771046009976547,0.22301698209817125,0.2400226787392238,0.22339046108058414,0.23949117240981854,False,False,False,1.0,0.0
H2,500,P0_ALL,alpha_0,0.0,True,30,4568.0555555555575,4556.465991959416,0.002537089020741843,0.0025465831501854,0.0005275152220568817,0.0023401115995924917,0.002734066441891194,0.0023534401317482612,0.002719082910607817,False,False,False,1.0,0.0
H2,500,P0_ALL,alpha_005,0.05,False,30,4568.0555555555575,4557.045470139224,0.0024102345697047437,0.0024192539926762,0.0005011394609540159,0.002223106019612868,0.0025973631197966193,0.002235768125160841,0.002583128765077402,False,False,False,1.0,0.0
H2,500,P0_ALL,alpha_010,0.1,False,30,4568.0555555555575,4557.62494831903,0.0022833801186676566,0.0022919248351669,0.0004747636998511864,0.002106100439633243,0.0024606597977020702,0.002118096118573414,0.0024471746195470173,False,False,False,1.0,0.0
H2,500,P0_ALL,alpha_025,0.25,False,30,4568.0555555555575,4559.3633828584525,0.0019028167655563966,0.0019099373626391,0.00039563641654265783,0.0017550836996943842,0.002050549831418409,0.0017650800988112008,0.0020393121829558624,False,False,False,1.0,0.0
H2,500,P0_ALL,alpha_050,0.5,False,30,4568.0555555555575,4562.260773757485,0.00126854451037096,0.0012732915750929999,0.00026375761102843915,0.001170055799796285,0.0013670332209456352,0.0011767200658741738,0.0013595414553039605,False,False,False,1.0,0.0
H2,500,P3_ENERGY,alpha_0,0.0,True,30,4568.0555555555575,2109.8484062979187,0.538129871531012,0.5381032887144708,0.00017777941248863538,0.5380634876073995,0.5381962554546245,0.5380675844422669,0.5381925872286005,True,True,True,1.1020980117292407e-69,1.0
H2,500,P3_ENERGY,alpha_005,0.05,False,30,4568.0555555555575,2232.7587637608003,0.5112233779544614,0.5111981242787472,0.00016889044186417607,0.5111603132270295,0.5112864426818933,0.5111642052201536,0.5112829578671705,True,True,True,6.282172389474186e-55,1.0
H2,500,P3_ENERGY,alpha_010,0.1,False,30,4568.0555555555575,2355.669121223683,0.4843168843779108,0.48429295984302373,0.0001600014712397574,0.48425713884665955,0.4843766299091621,0.4842608259980402,0.48437332850574044,False,False,False,1.0,0.0
H2,500,P3_ENERGY,alpha_025,0.25,False,30,4568.0555555555575,2724.4001936123286,0.403597403648259,0.403577466535853,0.00013333455936647497,0.40354761570554964,0.4036471915909684,0.4035506883317002,0.4036444404214504,False,False,False,1.0,0.0
H2,500,P3_ENERGY,alpha_050,0.5,False,30,4568.0555555555575,3338.951980926737,0.269064935765506,0.2690516443572354,8.88897062443014e-05,0.26903174380369976,0.26909812772731223,0.26903379222113344,0.26909629361430026,False,False,False,1.0,0.0
H2,500,P4_RESERVE,alpha_0,0.0,True,30,4568.0555555555575,2446.141155672563,0.46451151350433395,0.47267138546819915,0.049334573613595424,0.4460896809626732,0.4829333460459947,0.4460845260966507,0.48093548234152533,False,False,False,0.9997646319533935,0.26666666666666666
H2,500,P4_RESERVE,alpha_005,0.05,False,30,4568.0555555555575,2552.236875666713,0.44128593782911735,0.4490378161947892,0.04686784493291569,0.42378519691453964,0.45878667874369505,0.42378029979181814,0.45688870822444905,False,False,False,0.9999999227147726,0.03333333333333333
H2,500,P4_RESERVE,alpha_010,0.1,False,30,4568.0555555555575,2658.3325956608624,0.4180603621539005,0.42540424692137924,0.044401116252235875,0.40148071286640585,0.4346400114413952,0.40147607348698566,0.43284193410737276,False,False,False,0.9999999999741465,0.0
H2,500,P4_RESERVE,alpha_025,0.25,False,30,4568.0555555555575,2976.6197556433112,0.34838363512825055,0.35450353910114935,0.037000930210196604,0.33456726072200493,0.36220000953449616,0.33456339457248807,0.36070161175614396,False,False,False,1.0,0.0
H2,500,P4_RESERVE,alpha_050,0.5,False,30,4568.0555555555575,3507.0983556140586,0.23225575675216703,0.2363356927340996,0.024667286806797757,0.22304484048133663,0.24146667302299743,0.22304226304832533,0.24046774117076267,False,False,False,1.0,0.0
H4,100,P0_ALL,alpha_0,0.0,True,30,871.9444444444447,870.2702654938523,0.001920052316703433,0.00199461838464065,0.00045607069659449296,0.0017497527197995078,0.002090351913607358,0.0017613562954834458,0.0020791814149139828,False,False,False,1.0,0.0
H4,100,P0_ALL,alpha_005,0.05,False,30,871.9444444444447,870.3539744413819,0.0018240497008682498,0.0018948874654085499,0.0004332671617647773,0.0016622650838095175,0.001985834317926982,0.0016732884807092807,0.0019752223441682737,False,False,False,1.0,0.0
H4,100,P0_ALL,alpha_010,0.1,False,30,871.9444444444447,870.4376833889113,0.0017280470850330636,0.0017951565461765502,0.000410463626935054,0.0015747774478195272,0.0018813167222466,0.0015852206659350378,0.001871263273422548,False,False,False,1.0,0.0
H4,100,P0_ALL,alpha_025,0.25,False,30,871.9444444444447,870.6888102315003,0.0014400392375275768,0.0014959637884805,0.0003420530224458669,0.001312314539849634,0.0015677639352055196,0.0013210172216125587,0.0015593860611854402,False,False,False,1.0,0.0
H4,100,P0_ALL,alpha_050,0.5,False,30,871.9444444444447,871.1073549691483,0.0009600261583517035,0.00099730919232035,0.00022803534829723165,0.0008748763598997464,0.0010451759568036606,0.0008806781477416646,0.001039590707456959,False,False,False,1.0,0.0
H4,100,P3_ENERGY,alpha_0,0.0,True,30,871.9444444444447,419.8757706835242,0.5184604095378506,0.5184375125221621,0.00022367697962405003,0.5183768871810074,0.5185439318946937,0.5183829204774009,0.5185416775262304,True,True,True,1.1739095896309316e-57,1.0
H4,100,P3_ENERGY,alpha_005,0.05,False,30,871.9444444444447,442.47920437157023,0.49253738906095795,0.49251563689605393,0.0002124931306428614,0.492458042821957,0.4926167352999589,0.4924637744535309,0.4926145936499187,False,False,False,1.0,0.0
H4,100,P3_ENERGY,alpha_010,0.1,False,30,871.9444444444447,465.0826380596162,0.4666143685840654,0.4665937612699458,0.00020130928166164455,0.4665391984629066,0.4666895387052242,0.46654462842966077,0.46668750977360723,False,False,False,1.0,0.0
H4,100,P3_ENERGY,alpha_025,0.25,False,30,871.9444444444447,532.8929391237542,0.3888453071533879,0.3888281343916215,0.00016775773471801927,0.38878266538575557,0.3889079489210202,0.38878719035805076,0.3889062581446727,False,False,False,1.0,0.0
H4,100,P3_ENERGY,alpha_050,0.5,False,30,871.9444444444447,645.9101075639843,0.2592302047689253,0.25921875626108093,0.00011183848981202354,0.2591884435905037,0.25927196594734686,0.2591914602387005,0.2592708387631152,False,False,False,1.0,0.0
H4,100,P4_RESERVE,alpha_0,0.0,True,30,871.9444444444447,471.6429992357991,0.4590905392644546,0.4594076150062848,0.039203145309568053,0.4444518442256424,0.4737292343032668,0.4449947210148542,0.4725862270713938,False,False,False,0.9999982577664543,0.13333333333333333
H4,100,P4_RESERVE,alpha_005,0.05,False,30,871.9444444444447,491.6580714962314,0.43613601230123183,0.4364372342559705,0.03724298804408967,0.42222925201436023,0.45004277258810343,0.4227449849641115,0.44895691571782415,False,False,False,0.9999999998658208,0.03333333333333333
H4,100,P4_RESERVE,alpha_010,0.1,False,30,871.9444444444447,511.6731437566637,0.41318148533800925,0.41346685350565626,0.03528283077861127,0.40000665980307826,0.42635631087294024,0.4004952489133688,0.42532760436425443,False,False,False,0.9999999999999744,0.0
H4,100,P4_RESERVE,alpha_025,0.25,False,30,871.9444444444447,571.7183605379604,0.344317904448341,0.3445557112547135,0.029402358982176028,0.3333388831692318,0.35529692572745014,0.3337460407611406,0.35443967030354534,False,False,False,1.0,0.0
H4,100,P4_RESERVE,alpha_050,0.5,False,30,871.9444444444447,671.793721840122,0.22954526963222724,0.22970380750314223,0.01960157265478403,0.22222592211282113,0.23686461715163334,0.22249736050742705,0.23629311353569685,False,False,False,1.0,0.0
H4,300,P0_ALL,alpha_0,0.0,True,30,2615.8333333333326,2609.8168804338907,0.0023000138513322465,0.0023437763297158003,0.0004932607250446896,0.0021158272695788096,0.0024842004330856834,0.0021261043334722847,0.0024725580417387085,False,False,False,1.0,0.0
H4,300,P0_ALL,alpha_005,0.05,False,30,2615.8333333333326,2610.117703078862,0.0021850131587656235,0.00222658751323,0.00046859768879248004,0.002010035906099849,0.002359990411431398,0.002019799116798647,0.0023489301396517836,False,False,False,1.0,0.0
H4,300,P0_ALL,alpha_010,0.1,False,30,2615.8333333333326,2610.418525723834,0.0020700124661989965,0.00210939869674425,0.0004439346525402153,0.0019042445426209053,0.0022357803897770875,0.0019134939001250466,0.002225302237564798,False,False,False,1.0,0.0
H4,300,P0_ALL,alpha_025,0.25,False,30,2615.8333333333326,2611.3209936587505,0.0017250103884992236,0.00175783224728695,0.00036994554378350276,0.0015868704521841514,0.0018631503248142957,0.00159457825010426,0.0018544185313040615,False,False,False,1.0,0.0
H4,300,P0_ALL,alpha_050,0.5,False,30,2615.8333333333326,2612.825106883612,0.0011500069256661534,0.00117188816485815,0.0002466303625223426,0.0010579136347894358,0.001242100216542871,0.0010630521667361493,0.0012362790208694143,False,False,False,1.0,0.0
