run_id,pow_run_id,phase,protocol,composition,N,seed_index,tag,alpha_case,alpha,is_idealized_alpha,P_low_note,PoW_energy_J,PoW_energy_kWh,PoCol_energy_J,PoCol_energy_kWh,PoCol_active_J,PoCol_waking_J,PoCol_low_J,PoCol_standby_J,paired_energy_difference_kWh,EnergySaving,PoW_energy_per_block_kWh,PoCol_energy_per_block_kWh,PoW_energy_per_round_kWh,PoCol_energy_per_round_kWh,PoW_accepted_blocks,PoCol_accepted_blocks,BlockRetention,LatencyRatio_median,LatencyRatio_mean,HashRetention,mean_SecurityHashFraction,min_SecurityHashFraction,CapacityRemovedFraction,PowerRemovedFraction,SelectivityGain,F_low,F_standby,F_parked_power_weighted,dE_total_J,dE_participation_J,dE_selection_J,share_participation,share_selection,dE_participation_shapley_J,dE_selection_shapley_J,share_participation_shapley,share_selection_shapley,dE_postrange_J,dE_reserve_J,share_postrange,share_reserve,dE_stale_J,decomposition_residual_J,power_identity_error_Ws
8YS_H2_N300_P1_EQUAL_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P1_EQUAL,H2,300,1,alloc,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,7464369001.576227,2073.435833771174,7464369001.576227,0.0,0.0,0.0,-667.3974995621593,0.24350167208105533,210.83333333333334,230.38175930790825,210.83333333333334,230.38175930790825,13,9,0.6923076923076923,0.9386922944111614,1.2624744332343565,0.6846200861698033,0.6846200861698033,0.0,0.3153799138301967,0.24350167208105633,0.7720899822813693,0.22828606726634282,0.0,0.2435016720810556,2402630998.4237757,3111853609.762551,-709222611.3387752,1.2951858241253251,-0.29518582412532524,2757242304.0931635,-354611305.6693876,1.1475929120626627,-0.14759291206266262,2402630998.4237757,0.0,1.0,0.0,0.0,0.0,3.814697265625e-06
8YS_H2_N300_P1_EQUAL_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P1_EQUAL,H2,300,1,alloc,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,7584500551.497416,2106.805708749282,7464369001.576227,0.0,120131549.92118879,0.0,-634.0276245840514,0.2313265884770026,210.83333333333334,234.0895231943647,210.83333333333334,234.0895231943647,13,9,0.6923076923076923,0.9386922944111614,1.2624744332343565,0.6846200861698033,0.6846200861698033,0.0,0.3153799138301967,0.24350167208105633,0.7720899822813693,0.22828606726634282,0.0,0.2435016720810556,2282499448.502587,2956260929.274423,-673761480.7718363,1.2951858241253251,-0.2951858241253252,2619380188.888505,-336880740.38591814,1.1475929120626627,-0.1475929120626626,2282499448.502587,0.0,1.0,0.0,0.0,0.0,3.814697265625e-06
8YS_H2_N300_P1_EQUAL_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P1_EQUAL,H2,300,1,alloc,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,7704632101.418605,2140.1755837273904,7464369001.576227,0.0,240263099.84237757,0.0,-600.6577496059431,0.21915150487294977,210.83333333333334,237.79728708082115,210.83333333333334,237.79728708082115,13,9,0.6923076923076923,0.9386922944111614,1.2624744332343565,0.6846200861698033,0.6846200861698033,0.0,0.3153799138301967,0.24350167208105633,0.7720899822813693,0.22828606726634282,0.0,0.2435016720810556,2162367898.581398,2800668248.786296,-638300350.2048979,1.2951858241253253,-0.29518582412532535,2481518073.683847,-319150175.10244894,1.1475929120626627,-0.14759291206266267,2162367898.581398,0.0,1.0,0.0,0.0,0.0,3.814697265625e-06
8YS_H2_N300_P1_EQUAL_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P1_EQUAL,H2,300,1,alloc,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,8065026751.182171,2240.285208661714,7464369001.576227,0.0,600657749.6059439,0.0,-500.54812467161946,0.18262625406079147,210.83333333333334,248.92057874019045,210.83333333333334,248.92057874019045,13,9,0.6923076923076923,0.9386922944111614,1.2624744332343565,0.6846200861698033,0.6846200861698033,0.0,0.3153799138301967,0.24350167208105633,0.7720899822813693,0.22828606726634282,0.0,0.2435016720810556,1801973248.8178318,2333890207.3219132,-531916958.5040815,1.2951858241253253,-0.2951858241253253,2067931728.0698724,-265958479.25204074,1.1475929120626627,-0.14759291206266265,1801973248.8178318,0.0,1.0,0.0,0.0,0.0,3.814697265625e-06
8YS_H2_N300_P1_EQUAL_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P1_EQUAL,H2,300,1,alloc,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,8665684500.788115,2407.134583552254,7464369001.576227,0.0,1201315499.2118878,0.0,-333.69874978107964,0.12175083604052772,210.83333333333334,267.4593981724727,210.83333333333334,267.4593981724727,13,9,0.6923076923076923,0.9386922944111614,1.2624744332343565,0.6846200861698033,0.6846200861698033,0.0,0.3153799138301967,0.24350167208105633,0.7720899822813693,0.22828606726634282,0.0,0.2435016720810556,1201315499.2118878,1555926804.8812754,-354611305.6693876,1.2951858241253251,-0.29518582412532524,1378621152.0465817,-177305652.8346938,1.1475929120626627,-0.14759291206266262,1201315499.2118878,0.0,1.0,0.0,0.0,0.0,3.814697265625e-06
8YS_H2_N300_P2_HASHPROP_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P2_HASHPROP,H2,300,1,alloc,alpha_0,0.0,True,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,9838279160.350237,2732.8553223195104,9838279160.350237,0.0,0.0,0.0,-7.978011013823107,0.002910797572693191,210.83333333333334,210.21964017842387,210.83333333333334,210.21964017842387,13,13,1.0,1.0,1.0030242476366198,0.9970908265054568,0.9970908265054568,0.0,0.002909173494543227,0.00291079757269197,1.0005582610152985,0.0029111413670138064,0.0,0.002910797572692847,28720839.64976032,28704814.870658018,16024.779102303088,0.9994420504658736,0.0005579495341264097,28712827.26020917,8012.389551151544,0.9997210252329368,0.00027897476706320487,28720839.64976032,0.0,1.0,0.0,0.0,0.0,1.9073486328125e-06
8YS_H2_N300_P2_HASHPROP_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P2_HASHPROP,H2,300,1,alloc,alpha_005,0.05,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,9839715202.332726,2733.2542228702014,9838279160.350237,0.0,1436041.9824880161,0.0,-7.5791104631321105,0.002765257694058554,210.83333333333334,210.25032483616934,210.83333333333334,210.25032483616934,13,13,1.0,1.0,1.0030242476366198,0.9970908265054568,0.9970908265054568,0.0,0.002909173494543227,0.00291079757269197,1.0005582610152985,0.0029111413670138064,0.0,0.002910797572692847,27284797.667272303,27269574.127125114,15223.540147189051,0.9994420504658735,0.0005579495341264507,27277185.897198707,7611.7700735945255,0.9997210252329367,0.00027897476706322536,27284797.667272303,0.0,1.0,0.0,0.0,0.0,1.9073486328125e-06
8YS_H2_N300_P2_HASHPROP_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P2_HASHPROP,H2,300,1,alloc,alpha_010,0.1,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,9841151244.315212,2733.6531234208924,9838279160.350237,0.0,2872083.9649760323,0.0,-7.180209912441114,0.0026197178154239165,210.83333333333334,210.2810094939148,210.83333333333334,210.2810094939148,13,13,1.0,1.0,1.0030242476366198,0.9970908265054568,0.9970908265054568,0.0,0.002909173494543227,0.00291079757269197,1.0005582610152985,0.0029111413670138064,0.0,0.002910797572692847,25848755.68478429,25834333.38359222,14422.301192071289,0.9994420504658736,0.0005579495341263521,25841544.534188256,7211.150596035644,0.9997210252329369,0.00027897476706317603,25848755.68478429,0.0,1.0,0.0,0.0,0.0,1.9073486328125e-06
8YS_H2_N300_P2_HASHPROP_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P2_HASHPROP,H2,300,1,alloc,alpha_025,0.25,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,9845459370.262676,2734.849825072966,9838279160.350237,0.0,7180209.91244008,0.0,-5.983508260367671,0.0021830981795200044,210.83333333333334,210.3730634671512,210.83333333333334,210.3730634671512,13,13,1.0,1.0,1.0030242476366198,0.9970908265054568,0.9970908265054568,0.0,0.002909173494543227,0.00291079757269197,1.0005582610152985,0.0029111413670138064,0.0,0.002910797572692847,21540629.73732024,21528611.152993515,12018.584326725453,0.9994420504658736,0.0005579495341263232,21534620.44515688,6009.292163362727,0.9997210252329369,0.0002789747670631616,21540629.73732024,0.0,1.0,0.0,0.0,0.0,1.9073486328125e-06
8YS_H2_N300_P2_HASHPROP_seed001_alloc,8YS_H2_N300_POW_seed001_base,secondary,P2_HASHPROP,H2,300,1,alloc,alpha_050,0.5,False,"model assumption, not a manufacturer-certified mode",9867000000.0,2740.8333333333335,9852639580.175117,2736.8443278264217,9838279160.350237,0.0,14360419.82488016,0.0,-3.9890055069117807,0.0014553987863467066,210.83333333333334,210.52648675587858,210.83333333333334,210.52648675587858,13,13,1.0,1.0,1.0030242476366198,0.9970908265054568,0.9970908265054568,0.0,0.002909173494543227,0.00291079757269197,1.0005582610152985,0.0029111413670138064,0.0,0.002910797572692847,14360419.82488016,14352407.435329009,8012.389551151544,0.9994420504658736,0.0005579495341264097,14356413.630104585,4006.194775575772,0.9997210252329368,0.00027897476706320487,14360419.82488016,0.0,1.0,0.0,0.0,0.0,1.9073486328125e-06
