tag,wake_s,alpha_case,alpha,n,EnergySaving_mean,EnergySaving_ci95_low,EnergySaving_ci95_high,BlockRetention_mean,t_waking_miner_s_mean,wake_events_mean,exceeds_50pct
wake0,0.0,alpha_0,0.0,30,0.46254839212274496,0.4418742516738662,0.48322253257162373,0.5850964463516508,0.0,0.0,False
wake0,0.0,alpha_005,0.05,30,0.43942097251660767,0.4197805390901728,0.4590614059430425,0.5850964463516508,0.0,0.0,False
wake0,0.0,alpha_010,0.1,30,0.41629355291047043,0.3976868265064796,0.4349002793144613,0.5850964463516508,0.0,0.0,False
wake0,0.0,alpha_025,0.25,30,0.3469112940920587,0.3314056887553996,0.36241689942871774,0.5850964463516508,0.0,0.0,False
wake0,0.0,alpha_050,0.5,30,0.23127419606137242,0.22093712583693303,0.2416112662858118,0.5850964463516508,0.0,0.0,False
wake1,1.0,alpha_0,0.0,30,0.4625861463607774,0.4419113640092479,0.48326092871230686,0.5850964463516508,941.3666666666667,941.3666666666667,False
wake1,1.0,alpha_005,0.05,30,0.43945683904273847,0.4198157958087855,0.45909788227669146,0.5850964463516508,941.3666666666667,941.3666666666667,False
wake1,1.0,alpha_010,0.1,30,0.4163275317246996,0.3977202276083231,0.4349348358410761,0.5850964463516508,941.3666666666667,941.3666666666667,False
wake1,1.0,alpha_025,0.25,30,0.346939609770583,0.33143352300693596,0.3624456965342301,0.5850964463516508,941.3666666666667,941.3666666666667,False
wake1,1.0,alpha_050,0.5,30,0.23129307318038864,0.2209556820046239,0.24163046435615337,0.5850964463516508,941.3666666666667,941.3666666666667,False
wake5,5.0,alpha_0,0.0,30,0.4627309864980099,0.44205333232803984,0.48340864066798,0.5850964463516508,4694.305736136167,939.7333333333333,False
wake5,5.0,alpha_005,0.05,30,0.4395944371731095,0.4199506657116379,0.45923820863458104,0.5850964463516508,4694.305736136167,939.7333333333333,False
wake5,5.0,alpha_010,0.1,30,0.4164578878482089,0.3978479990952359,0.43506777660118195,0.5850964463516508,4694.305736136167,939.7333333333333,False
wake5,5.0,alpha_025,0.25,30,0.3470482398735075,0.33153999924603,0.36255648050098505,0.5850964463516508,4694.305736136167,939.7333333333333,False
wake5,5.0,alpha_050,0.5,30,0.23136549324900493,0.2210266661640199,0.24170432033398997,0.5850964463516508,4694.305736136167,939.7333333333333,False
wake10,10.0,alpha_0,0.0,30,0.46358894519635296,0.44266854688400137,0.48450934350870456,0.5786107751600973,9389.18766903467,941.3,False
wake10,10.0,alpha_005,0.05,30,0.44040949793653533,0.42053511953980127,0.4602838763332694,0.5786107751600973,9389.18766903467,941.3,False
wake10,10.0,alpha_010,0.1,30,0.41723005067671765,0.3984016921956012,0.4360584091578341,0.5786107751600973,9389.18766903467,941.3,False
wake10,10.0,alpha_025,0.25,30,0.34769170889726464,0.33200141016300094,0.36338200763152834,0.5786107751600973,9389.18766903467,941.3,False
wake10,10.0,alpha_050,0.5,30,0.23179447259817643,0.22133427344200063,0.24225467175435222,0.5786107751600973,9389.18766903467,941.3,False
wake30,30.0,alpha_0,0.0,30,0.46077698036368686,0.4401325864844694,0.4814213742429043,0.5740565473753795,27773.453030300432,934.8,False
wake30,30.0,alpha_005,0.05,30,0.43773813134550255,0.4181259571602459,0.45735030553075917,0.5740565473753795,27773.453030300432,934.8,False
wake30,30.0,alpha_010,0.1,30,0.41469928232731806,0.39611932783602233,0.4332792368186138,0.5740565473753795,27773.453030300432,934.8,False
wake30,30.0,alpha_025,0.25,30,0.3455827352727651,0.330099439863352,0.36106603068217824,0.5740565473753795,27773.453030300432,934.8,False
wake30,30.0,alpha_050,0.5,30,0.2303884901818434,0.22006629324223467,0.24071068712145213,0.5740565473753795,27773.453030300432,934.8,False
