Configuration,EnergySaving,BlockRetention,MeanActiveHashFraction,MeanActivePowerFraction,EnergyPerBlock_change_vs_PoW,MeanSecurityHashFraction,MinSecurityHashFraction,MainSourceOfSaving,Outcome
P3_ENERGY / H2 / N=300 / alpha_0,0.5387104596359363,0.6441960491187171,0.5984936087800413,0.4612895403640638,-0.24358234888854435,0.5984936087800413,0.0,reduced hash participation (75% of ΔE); state origin: reserve standby residence,C (idealized alpha)
P3_ENERGY / H2 / N=100 / alpha_0,0.5327700565664878,0.6448348695221761,0.600264859070189,0.4672299434335122,-0.25289020819851915,0.600264859070189,0.0,reduced hash participation (75% of ΔE); state origin: reserve standby residence,C (idealized alpha)
P3_ENERGY / H4 / N=300 / alpha_0,0.5186363546458651,0.6876701722197078,0.600019055592725,0.48136364535413473,-0.2729833940028624,0.600019055592725,0.0,reduced hash participation (77% of ΔE); state origin: reserve standby residence,C (idealized alpha)
P0_ALL / H4 / N=500 / alpha_0,0.0025402961281240704,0.9957896825396825,0.9974595629082088,0.9974597038718754,0.0005347399468722536,0.9974595629082088,0.0,reduced hash participation (100% of ΔE); state origin: post-range low-power residence,D
P0_ALL / H0 / N=500 / alpha_0,0.0025284566270068138,0.9976190476190475,0.9974715433729936,0.9974715433729942,0.00022009929832078612,0.9974715433729936,0.0,reduced hash participation (100% of ΔE); state origin: post-range low-power residence,D
P0_ALL / H0 / N=300 / alpha_0,0.0024170205878116667,1.0,0.9975829794121879,0.997582979412188,-0.0024692615640853344,0.9975829794121879,0.0,reduced hash participation (100% of ΔE); state origin: post-range low-power residence,D
P0_ALL / H4 / N=300 / alpha_0,0.0023000138513322465,1.0039351851851852,0.997699174265729,0.9976999861486676,-0.0058763304820288464,0.997699174265729,0.0,reduced hash participation (100% of ΔE); state origin: post-range low-power residence,D
