run_id,protocol,composition,N,seed_index,block_index,interval_s
8Y_H0_N100_POW_seed002,POW,H0,100,2,3,77.3101478815039
8Y_H0_N100_POW_seed002,POW,H0,100,2,4,284.36874472661304
8Y_H0_N100_POW_seed002,POW,H0,100,2,5,90.43034989286707
8Y_H0_N100_POW_seed002,POW,H0,100,2,6,226.53011901247623
8Y_H0_N100_POW_seed002,POW,H0,100,2,7,648.2021880392497
8Y_H0_N100_POW_seed002,POW,H0,100,2,8,852.7914842689324
8Y_H0_N100_POW_seed002,POW,H0,100,2,9,35.46935731806025
8Y_H0_N100_POW_seed002,POW,H0,100,2,10,946.5180790518634
8Y_H0_N100_POW_seed002,POW,H0,100,2,11,91.36389759394888
8Y_H0_N100_POW_seed002,POW,H0,100,2,12,670.6193957422965
8Y_H0_N100_POW_seed002,POW,H0,100,2,13,728.1167946458618
8Y_H0_N100_POW_seed002,POW,H0,100,2,14,193.2875314728526
8Y_H0_N100_POW_seed002,POW,H0,100,2,15,140.32687694868218
8Y_H0_N100_POW_seed002,POW,H0,100,2,16,216.9754017204932
8Y_H0_N100_POW_seed002,POW,H0,100,2,17,181.3286361767332
8Y_H0_N100_POW_seed002,POW,H0,100,2,18,70.96900843433377
8Y_H0_N100_POW_seed002,POW,H0,100,2,19,1414.3436097556323
8Y_H0_N100_POW_seed002,POW,H0,100,2,20,151.5316794641767
8Y_H0_N100_POW_seed002,POW,H0,100,2,21,542.1571439182208
8Y_H0_N100_POW_seed002,POW,H0,100,2,22,307.85019697634743
8Y_H0_N100_POW_seed002,POW,H0,100,2,23,306.72574923154025
8Y_H0_N100_POW_seed002,POW,H0,100,2,24,64.4326277221553
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,1,401.07324055795266
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,2,258.8883344746805
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,3,77.3101478815039
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,4,284.36874472661304
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,5,90.43034989286707
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,6,226.53011901247623
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,7,650.1364421723977
8Y_H0_N100_P0_ALL_seed002,P0_ALL,H0,100,2,8,855.2421745122615
