composition,N,protocol,pairs,PoW_blocks_mean,PoCol_blocks_mean,BlockRetention_mean,BlockRetention_median,BlockRetention_sd,BlockRetention_ci95_low,BlockRetention_ci95_high,BlockRetention_boot_ci95_low,BlockRetention_boot_ci95_high,meets_90pct_mean,meets_90pct_ci_lower,meets_95pct_mean,meets_95pct_ci_lower,HashRetention_mean,PoW_stale_blocks,PoCol_stale_blocks,zero_block_runs
H0,100,P0_ALL,30,17.166666666666668,17.166666666666668,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,True,True,True,0.9980718044854846,0,0,0
H0,100,P3_ENERGY,30,17.166666666666668,10.766666666666667,0.6398100141546432,0.6458333333333333,0.13817134091625663,0.5882159875324174,0.691404040776869,0.5923038124818016,0.6897307858825601,False,False,False,False,0.5986937150879938,0,1,0
H0,100,P4_RESERVE,30,17.166666666666668,9.633333333333333,0.57420825184572,0.5683229813664596,0.12818652611912856,0.526342616343135,0.622073887348305,0.5308007766127971,0.6212844219813528,False,False,False,False,0.56648544582948,0,0,0
H0,300,P0_ALL,30,16.133333333333333,16.133333333333333,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,True,True,True,0.9975829794121879,0,0,0
H0,300,P3_ENERGY,30,16.133333333333333,9.533333333333333,0.5941449992577331,0.6076923076923078,0.15162039923402462,0.5375290117260352,0.6507609867894311,0.5404716784151559,0.6461076618179611,False,False,False,False,0.5983705313633764,0,0,0
H0,300,P4_RESERVE,30,16.133333333333333,8.8,0.5488460977160668,0.55625,0.12372871665437168,0.5026450356241203,0.5950471598080134,0.5060782153128027,0.5929361135645925,False,False,False,False,0.5681488389434972,0,0,0
H0,500,P0_ALL,30,16.5,16.466666666666665,0.9976190476190475,1.0,0.01304101327393252,0.9927494532330172,1.0024886420050778,0.9928571428571428,1.0,True,True,True,True,0.9974715433729936,0,0,0
H0,500,P3_ENERGY,30,16.5,9.933333333333334,0.5996116712428129,0.6132478632478633,0.13097091236348668,0.5507063288294797,0.6485170136561461,0.5535182736952465,0.644584947554421,False,False,False,False,0.6001998652939885,0,0,0
H0,500,P4_RESERVE,30,16.5,9.433333333333334,0.5902584184435038,0.5729166666666667,0.15605773298943793,0.5319855032566907,0.6485313336303169,0.5362698345386511,0.6477395793884764,False,False,False,False,0.5759640510808466,0,0,0
H2,100,P0_ALL,30,16.666666666666668,16.633333333333333,0.9986111111111112,1.0,0.007607257743127299,0.9957705143859269,1.0014517078362954,0.9958333333333333,1.0,True,True,True,True,0.9980961956208846,0,0,0
H2,100,P3_ENERGY,30,16.666666666666668,10.633333333333333,0.6448348695221761,0.6754385964912281,0.12352625522769221,0.5987094077694085,0.6909603312749436,0.601472016558433,0.6874174450778554,False,False,False,False,0.600264859070189,0,0,0
H2,100,P4_RESERVE,30,16.666666666666668,9.866666666666667,0.5974729630248207,0.5811403508771931,0.11476022524785875,0.5546207906615284,0.640325135388113,0.5578927989716109,0.6383840909577753,False,False,False,False,0.5581705186091807,0,0,0
H2,300,P0_ALL,30,17.7,17.6,0.9953823953823954,1.0,0.018469329967428436,0.9884858342307473,1.0022789565340435,0.9877344877344878,1.0,True,True,True,True,0.9976926670300623,0,0,0
