run_id,protocol,composition,N,seed_index,block_index,interval_s
8YS_H0_N100_P2_HASHPROP_seed002_alloc,P2_HASHPROP,H0,100,2,14,584.0201925700858
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,1,65.5959152363129
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,2,764.6918512966429
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,3,1445.0947013359032
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,4,10.87463445844378
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,5,261.09409740441515
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,6,294.0663876733229
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,7,297.6263817183126
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,8,887.1809218595677
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,9,796.1668184847817
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,10,1518.3234283735583
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,11,154.9223057269828
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,12,1132.507849095723
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,13,661.9730910769231
8YS_H0_N100_P1_EQUAL_seed003_alloc,P1_EQUAL,H0,100,3,14,656.0992477371274
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,1,65.5959152363129
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,2,764.6918512966429
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,3,1445.0947013359032
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,4,10.87463445844378
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,5,261.09409740441515
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,6,294.0663876733229
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,7,297.6263817183126
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,8,887.1809218595677
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,9,796.1668184847817
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,10,1518.3234283735583
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,11,154.9223057269828
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,12,1132.507849095723
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,13,661.9730910769231
8YS_H0_N100_P2_HASHPROP_seed003_alloc,P2_HASHPROP,H0,100,3,14,656.0992477371274
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,1,570.0249103907354
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,2,150.56603195363368
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,3,296.9353635857128
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,4,713.522680054725
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,5,373.52328349085724
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,6,57.03634464383458
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,7,222.0527002125823
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,8,555.7332422912764
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,9,16.30689903389066
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,10,141.28411817316874
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,11,443.15518304663874
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,12,1413.2191495179313
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,13,127.68393803740946
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,14,426.1459019858912
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,15,788.3952246558565
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,16,463.55044440295933
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,17,123.87806592304969
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,18,24.641837113567817
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,19,91.65642536867836
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,20,815.8243975310697
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,21,1403.9723844077735
8YS_H0_N100_P1_EQUAL_seed004_alloc,P1_EQUAL,H0,100,4,22,478.3318106610168
8YS_H0_N100_P2_HASHPROP_seed004_alloc,P2_HASHPROP,H0,100,4,1,570.0249103907354
