key,manufacturer,model,generation,hashrate_THs,active_power_W,efficiency_J_per_TH_stated,efficiency_J_per_TH_derived,efficiency_consistent,manufacturer_certified,low_power_W_documented,source_url,retrieval_date
S21PRO,Bitmain,Antminer S21 Pro,current high-efficiency,234.0,3510.0,15.0,15.0,True,url_located_content_not_retrievable,none published,https://support.bitmain.com/hc/en-us/articles/31321354157593-S21-Pro-Specification,2026-08-14
S19XP,Bitmain,Antminer S19 XP,intermediate,141.0,3010.0,21.5,21.347517730496456,False,url_located_content_not_retrievable,none published,https://support.bitmain.com/hc/en-us/articles/8906244096409-S19-XP-Specifications,2026-08-14
S19JPRO,Bitmain,Antminer S19j Pro 104T,older,104.0,3068.0,29.5,29.5,True,verified_quote,none published,https://support.bitmain.com/hc/en-us/articles/900006762746-S19j-Pro-Specifications,2026-08-14
