run_id,protocol,composition,N,t,h_active_fraction,p_drawn_fraction
8Y_H0_N100_POW_seed001,POW,H0,100,0.0,1.0,1.0
8Y_H0_N100_POW_seed001,POW,H0,100,10000.0,1.0,1.0
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,0.0,1.0,1.0
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.99,0.99
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.98,0.98
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.97,0.97
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.96,0.96
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.95,0.95
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.94,0.94
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.93,0.93
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.92,0.92
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.91,0.91
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.9,0.9
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.89,0.89
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.88,0.88
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.87,0.87
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.86,0.86
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.85,0.85
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.84,0.84
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.83,0.83
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.82,0.82
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.81,0.81
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.8,0.8
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.79,0.79
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.78,0.78
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.77,0.77
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.76,0.76
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.75,0.75
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.74,0.74
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.73,0.73
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.72,0.72
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.71,0.71
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.7,0.7
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.69,0.69
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.68,0.68
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.67,0.67
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.66,0.66
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.65,0.65
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.64,0.64
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.63,0.63
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.62,0.62
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.61,0.61
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.6,0.6
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.59,0.59
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.58,0.58
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.57,0.57
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.56,0.56
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.55,0.55
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.54,0.54
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.53,0.53
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.52,0.52
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.51,0.51
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.5,0.5
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.49,0.49
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.48,0.48
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.47,0.47
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.46,0.46
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.45,0.45
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.44,0.44
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.43,0.43
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.42,0.42
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.41,0.41
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.4,0.4
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.39,0.39
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.38,0.38
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.37,0.37
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.36,0.36
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.35,0.35
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.34,0.34
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.33,0.33
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.32,0.32
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.31,0.31
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.3,0.3
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.29,0.29
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.28,0.28
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.27,0.27
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.26,0.26
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.25,0.25
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.24,0.24
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.23,0.23
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.22,0.22
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.21,0.21
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.2,0.2
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.19,0.19
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.18,0.18
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.17,0.17
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.16,0.16
8Y_H0_N100_P0_ALL_seed001,P0_ALL,H0,100,600.0,0.15,0.15
