tag,arm,N,seed,round,duration_s,block,round_C_nonce,round_U_nonce,round_R_nonce,round_rho_nonce,round_M_ge2,round_M_ge3,round_m_max,round_mean_mult_reused,round_O_mean,round_O_median,round_O_p95,round_O_max,round_C_exact,round_U_exact,round_R_exact,round_rho_exact,subsweep_C_nonce,subsweep_U_nonce,subsweep_R_nonce,subsweep_rho_nonce,subsweep_M_ge2,subsweep_M_ge3,subsweep_m_max,subsweep_mean_mult_reused,subsweep_O_mean,subsweep_O_median,subsweep_O_p95,subsweep_O_max,subsweep_C_exact,subsweep_U_exact,subsweep_R_exact,subsweep_rho_exact
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,0,1.2712697627994358,1,29747712449506800,4294967296,29747708154539504,0.9999998556202497,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,29747712449506800,29747712449506800,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,1,1064.5909052836566,1,24911427183637565500,4294967296,24911427179342598204,0.9999999998275905,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,24911427183637565500,24911427183637565500,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,2,50.53399458317832,1,1182495473246372700,4294967296,1182495468951405404,0.9999999963678784,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,1182495473246372700,1182495473246372700,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,3,647.9704212950942,1,15162507858305204300,4294967296,15162507854010237004,0.9999999997167377,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,15162507858305204300,15162507858305204300,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,4,545.221298726224,1,12758178390193641500,4294967296,12758178385898674204,0.9999999996633557,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,12758178390193641500,12758178390193641500,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,5,39.501247507952144,1,924329191686080200,4294967296,924329187391112904,0.9999999953534224,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,924329191686080200,924329191686080200,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,6,297.32272973882397,1,6957351875888480300,4294967296,6957351871593513004,0.9999999993826721,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,6957351875888480300,6957351875888480300,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,7,77.54372729145503,1,1814523218620047700,4294967296,1814523214325080404,0.9999999976330051,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,1814523218620047700,1814523218620047700,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,8,346.72557736181756,1,8113378510266530900,4294967296,8113378505971563604,0.9999999994706315,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,8113378510266530900,8113378510266530900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,9,598.4384648108733,1,14003460076574433300,4294967296,14003460072279466004,0.9999999996932925,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,14003460076574433300,14003460076574433300,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,10,243.32232128348878,1,5693742318033637400,4294967296,5693742313738670104,0.9999999992456688,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,5693742318033637400,5693742318033637400,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,11,1731.5372893975264,1,40517972571902115900,4294967296,40517972567607148604,0.9999999998939985,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,40517972571902115900,40517972571902115900,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
pilot,XNR-PW-CONV-ZERO,100,7068745346940014165,12,1328.9602227239482,1,31097669211740389400,4294967296,31097669207445422104,0.9999999998618878,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,31097669211740389400,31097669211740389400,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
