tag,arm,N,seed,alpha_case,alpha,energy_J,energy_kWh,baseline_conv_offset_J,saving_vs_conv_offset
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,LP10,0.1,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,LP25,0.25,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-OFFSET,300,7068745346940014165,LP50,0.5,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PC,300,7068745346940014165,LP0,0.0,10529999745.022512,2924.99992917292,10530000000.0,2.4214386273868627e-08
pilot,XNR-PC,300,7068745346940014165,LP10,0.1,10529999770.520262,2924.999936255628,10530000000.0,2.1792947557663922e-08
pilot,XNR-PC,300,7068745346940014165,LP25,0.25,10529999808.766884,2924.99994687969,10530000000.0,1.816078976091262e-08
pilot,XNR-PC,300,7068745346940014165,LP50,0.5,10529999872.511257,2924.9999645864605,10530000000.0,1.2107193025912011e-08
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,LP0,0.0,10530000000.0,2925.0,,
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,LP10,0.1,10530000000.0,2925.0,,
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,LP25,0.25,10530000000.0,2925.0,,
pilot,XNR-PW-CONV-ZERO,300,1676186997283559608,LP50,0.5,10530000000.0,2925.0,,
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,LP0,0.0,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,LP10,0.1,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,LP25,0.25,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-CONV-OFFSET,300,1676186997283559608,LP50,0.5,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,LP0,0.0,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,LP10,0.1,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,LP25,0.25,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-ZERO,300,1676186997283559608,LP50,0.5,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,LP0,0.0,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,LP10,0.1,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,LP25,0.25,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PW-MT-OFFSET,300,1676186997283559608,LP50,0.5,10530000000.0,2925.0,10530000000.0,0.0
pilot,XNR-PC,300,1676186997283559608,LP0,0.0,10529999745.022512,2924.99992917292,10530000000.0,2.4214386273868627e-08
pilot,XNR-PC,300,1676186997283559608,LP10,0.1,10529999770.520262,2924.999936255628,10530000000.0,2.1792947557663922e-08
pilot,XNR-PC,300,1676186997283559608,LP25,0.25,10529999808.766884,2924.99994687969,10530000000.0,1.816078976091262e-08
