N,arm,accepted_blocks_mean,accepted_blocks_sd,accepted_blocks_ci95,retention_vs_conv_offset,mean_interval_s,median_interval_s,p95_interval_s,stale_blocks_mean,runs_with_blocks
100,XNR-PW-CONV-ZERO,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
100,XNR-PW-CONV-OFFSET,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
100,XNR-PW-MT-ZERO,0.06666666666666667,0.2537081317024624,"[-0.03,0.16]",0.004132231404958678,3971.542161149063,3971.542161149063,3971.542161149063,6.6,2
100,XNR-PW-MT-OFFSET,0.06666666666666667,0.2537081317024624,"[-0.03,0.16]",0.004132231404958678,3971.5421532768537,3971.5421532768537,3971.5421532768537,0.0,2
100,XNR-PC,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.479387957785,423.8787087548901,1367.1180190245207,0.0,30
200,XNR-PW-CONV-ZERO,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
200,XNR-PW-CONV-OFFSET,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
200,XNR-PW-MT-ZERO,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,2588.6334255728916,2588.6334255728916,2588.6334255728916,6.633333333333334,1
200,XNR-PW-MT-OFFSET,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,2588.6334133879895,2588.6334133879895,2588.6334133879895,0.0,1
200,XNR-PC,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4794023152577,423.8787186210263,1367.1180508460402,0.0,30
300,XNR-PW-CONV-ZERO,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
300,XNR-PW-CONV-OFFSET,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
300,XNR-PW-MT-ZERO,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,3882.9501413102594,3882.9501413102594,3882.9501413102594,9.966666666666667,1
300,XNR-PW-MT-OFFSET,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,3882.9501290645876,3882.9501290645876,3882.9501290645876,0.0,1
300,XNR-PC,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4794023171889,423.87871862816417,1367.1180508572568,0.0,30
400,XNR-PW-CONV-ZERO,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
400,XNR-PW-CONV-OFFSET,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.87870836398366,1367.118017751534,0.0,30
400,XNR-PW-MT-ZERO,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,5177.266857047628,5177.266857047628,5177.266857047628,13.3,1
400,XNR-PW-MT-OFFSET,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,5177.266844706945,5177.266844706945,5177.266844706945,0.0,1
400,XNR-PC,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4794310225191,423.87873836553496,1367.1181145150815,0.0,30
500,XNR-PW-CONV-ZERO,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.8787083639837,1367.1180177515341,0.0,30
500,XNR-PW-CONV-OFFSET,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4793873887237,423.8787083639837,1367.1180177515341,0.0,30
500,XNR-PW-MT-ZERO,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,6471.583572784995,6471.583572784995,6471.583572784995,16.633333333333333,1
500,XNR-PW-MT-OFFSET,0.03333333333333333,0.18257418583505536,"[-0.03,0.10]",0.002066115702479339,6471.583560444314,6471.583560444314,6471.583560444314,0.0,1
500,XNR-PC,16.133333333333333,3.421366266045888,"[14.86,17.41]",1.0,616.4794166688697,423.87872849511604,1367.1180826883615,0.0,30
