N,arm,rho_nonce_round,rho_exact_round,rho_nonce_minus_rho_exact_round,rho_nonce_epoch,rho_exact_epoch,M_ge2_round,m_max_round,cross_miner_reuse_without_duplication
100,XNR-PW-CONV-ZERO,0.9999999969596338,0.0,0.9999999969596338,0.0,0.0,4294967296.0,100.0,True
100,XNR-PW-CONV-OFFSET,0.9999999969596338,0.0,0.9999999969596338,0.0,0.0,4294967296.0,100.0,True
100,XNR-PW-MT-ZERO,0.9999999999787813,0.99,0.009999999978781315,0.99,0.99,4294967296.0,100.0,False
100,XNR-PW-MT-OFFSET,0.9999999999787813,0.9899999999824834,0.00999999999629786,0.99,0.99,4294967296.0,100.0,False
100,XNR-PC,0.9999999969596342,0.0,0.9999999969596342,0.0,0.0,0.0,1.0,False
200,XNR-PW-CONV-ZERO,0.9999999984798169,0.0,0.9999999984798169,0.0,0.0,4294967296.0,200.0,True
200,XNR-PW-CONV-OFFSET,0.9999999984798169,0.0,0.9999999984798169,0.0,0.0,4294967296.0,200.0,True
200,XNR-PW-MT-ZERO,0.9999999999903313,0.995,0.004999999990331294,0.995,0.995,4294967296.0,200.0,False
200,XNR-PW-MT-OFFSET,0.9999999999903313,0.9949999999917326,0.004999999998598681,0.995,0.995,4294967296.0,200.0,False
200,XNR-PC,0.9999999984798168,0.0,0.9999999984798168,0.0,0.0,0.0,1.0,False
300,XNR-PW-CONV-ZERO,0.9999999989865446,0.0,0.9999999989865446,0.0,0.0,4294967296.0,300.0,True
300,XNR-PW-CONV-OFFSET,0.9999999989865446,0.0,0.9999999989865446,0.0,0.0,4294967296.0,300.0,True
300,XNR-PW-MT-ZERO,0.9999999999936564,0.9966666666666667,0.003333333326989707,0.9966666666666667,0.9966666666666667,4294967296.0,300.0,False
300,XNR-PW-MT-OFFSET,0.9999999999936564,0.9966666666612414,0.003333333332415034,0.9966666666666667,0.9966666666666667,4294967296.0,300.0,False
300,XNR-PC,0.9999999989865446,0.0,0.9999999989865446,0.0,0.0,0.0,1.0,False
400,XNR-PW-CONV-ZERO,0.9999999992399085,0.0,0.9999999992399085,0.0,0.0,4294967296.0,400.0,True
400,XNR-PW-CONV-OFFSET,0.9999999992399085,0.0,0.9999999992399085,0.0,0.0,4294967296.0,400.0,True
400,XNR-PW-MT-ZERO,0.999999999995258,0.9975,0.002499999995257962,0.9975,0.9975,4294967296.0,400.0,False
400,XNR-PW-MT-OFFSET,0.999999999995258,0.9974999999959564,0.0024999999993016164,0.9975,0.9975,4294967296.0,400.0,False
400,XNR-PC,0.9999999992399083,0.0,0.9999999992399083,0.0,0.0,0.0,1.0,False
500,XNR-PW-CONV-ZERO,0.9999999993919267,0.0,0.9999999993919267,0.0,0.0,4294967296.0,500.0,True
500,XNR-PW-CONV-OFFSET,0.9999999993919267,0.0,0.9999999993919267,0.0,0.0,4294967296.0,500.0,True
500,XNR-PW-MT-ZERO,0.9999999999961835,0.998,0.001999999996183499,0.998,0.998,4294967296.0,500.0,False
500,XNR-PW-MT-OFFSET,0.9999999999961835,0.9979999999967453,0.001999999999438229,0.998,0.998,4294967296.0,500.0,False
500,XNR-PC,0.9999999993919267,0.0,0.9999999993919267,0.0,0.0,0.0,1.0,False
