tag,arm,N,seed,scope,O_mean,O_median,O_p95,O_max,M_ge2,M_ge3,m_max,mean_mult_reused
pilot,XNR-PW-CONV-ZERO,500,7068745346940014165,subsweep,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,500.0,500.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-CONV-OFFSET,500,7068745346940014165,subsweep,4547.947166332665,0.0,0.0,4286783.0,389265852.0,77388561.0,4.0,2.218770039967441
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-MT-ZERO,500,7068745346940014165,subsweep,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,500.0,500.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-MT-OFFSET,500,7068745346940014165,subsweep,4547.947166332665,0.0,0.0,4286783.0,389265852.0,77388561.0,4.0,2.218770039967441
pilot,XNR-PC,500,7068745346940014165,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PC,500,7068745346940014165,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-CONV-ZERO,500,1676186997283559608,subsweep,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,500.0,500.0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-CONV-OFFSET,500,1676186997283559608,subsweep,4090.002901803607,0.0,0.0,4281108.0,378909091.0,54480895.0,6.0,2.1608199313433727
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-MT-ZERO,500,1676186997283559608,subsweep,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,4294967.0,500.0,500.0
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,500.0,500.0
pilot,XNR-PW-MT-OFFSET,500,1676186997283559608,subsweep,4090.002901803607,0.0,0.0,4281108.0,378909091.0,54480895.0,6.0,2.160819931343373
pilot,XNR-PC,500,1676186997283559608,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pilot,XNR-PC,500,1676186997283559608,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
