N,miner_hashrate_THs,miner_active_power_W,efficiency_J_per_TH,aggregate_hashrate_THs,aggregate_power_W,nonce_value_domain,difficulty_D_N,q_per_candidate,target_hex_prefix,sweep_time_s,pocol_range_min,pocol_range_max,subsweep_window_ticks
100,234.0,3510.0,15.0,23400.0,351000.0,4294967296,3268942236.9003296,7.122507122507123e-20,0x0000000000000001,1.8354561094017095e-05,42949672,42949673,21474836
200,234.0,3510.0,15.0,46800.0,702000.0,4294967296,6537884473.800659,3.5612535612535614e-20,0x0000000000000000,1.8354561094017095e-05,21474836,21474837,10737418
300,234.0,3510.0,15.0,70200.0,1053000.0,4294967296,9806826710.700989,2.3741690408357075e-20,0x0000000000000000,1.8354561094017095e-05,14316557,14316558,7158278
400,234.0,3510.0,15.0,93600.0,1404000.0,4294967296,13075768947.601318,1.7806267806267807e-20,0x0000000000000000,1.8354561094017095e-05,10737418,10737419,5368709
500,234.0,3510.0,15.0,117000.0,1755000.0,4294967296,16344711184.501648,1.4245014245014244e-20,0x0000000000000000,1.8354561094017095e-05,8589934,8589935,4294967
