tag,arm,N,seed,scope,O_mean,O_median,O_p95,O_max,M_ge2,M_ge3,m_max,mean_mult_reused
primary,XNR-PW-CONV-ZERO,100,16363268894485278985,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,16363268894485278985,subsweep,75381.8088888889,0.0,0.0,21467346.0,329226502.0,21956726.0,3.0,2.0666918545943784
primary,XNR-PW-MT-ZERO,100,16363268894485278985,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,16363268894485278985,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,16363268894485278985,subsweep,75381.80888888889,0.0,0.0,21467346.0,329226502.0,21956726.0,3.0,2.066691854594379
primary,XNR-PC,100,16363268894485278985,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,16363268894485278985,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,16585534704111605887,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,16585534704111605887,subsweep,138777.87515151515,0.0,0.0,21106266.0,356126124.0,104905643.0,5.0,2.4062786250412795
primary,XNR-PW-MT-ZERO,100,16585534704111605887,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,16585534704111605887,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,subsweep,138777.87515151515,0.0,0.0,21106266.0,356126124.0,104905643.0,5.0,2.406278625041279
primary,XNR-PC,100,16585534704111605887,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,16585534704111605887,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,subsweep,110806.3432323232,0.0,0.0,21120975.0,409453759.0,68474472.0,4.0,2.168934104229337
primary,XNR-PW-MT-ZERO,100,14790319751179523344,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,14790319751179523344,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,subsweep,110806.34323232323,0.0,0.0,21120975.0,409453759.0,68474472.0,4.0,2.1689341042293373
primary,XNR-PC,100,14790319751179523344,round,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PC,100,14790319751179523344,subsweep,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,subsweep,115746.14161616167,0.0,0.0,21324313.0,398433037.0,63291722.0,4.0,2.198947764464621
primary,XNR-PW-MT-ZERO,100,15311360825920276038,round,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,4294967296.0,100.0,100.0
primary,XNR-PW-MT-ZERO,100,15311360825920276038,subsweep,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,21474836.0,100.0,100.0
