tag,arm,N,seed,round,duration_s,block,round_C_nonce,round_U_nonce,round_R_nonce,round_rho_nonce,round_M_ge2,round_M_ge3,round_m_max,round_mean_mult_reused,round_O_mean,round_O_median,round_O_p95,round_O_max,round_C_exact,round_U_exact,round_R_exact,round_rho_exact,subsweep_C_nonce,subsweep_U_nonce,subsweep_R_nonce,subsweep_rho_nonce,subsweep_M_ge2,subsweep_M_ge3,subsweep_m_max,subsweep_mean_mult_reused,subsweep_O_mean,subsweep_O_median,subsweep_O_p95,subsweep_O_max,subsweep_C_exact,subsweep_U_exact,subsweep_R_exact,subsweep_rho_exact
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,12,761.3723445254737,1,17816112861896085600,4294967296,17816112857601118304,0.999999999758928,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,17816112861896085600,17816112861896085600,0,0.0,2147483600,1669593343,477890257,0.22253499724049114,414006899,63883358,3,2.154305056641097,109449.21515151515,0.0,0.0,21269498,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,13,469.0571108924908,1,10975936394884284500,4294967296,10975936390589317204,0.9999999996086925,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,10975936394884284500,10975936394884284500,0,0.0,2147483600,1669593343,477890257,0.22253499724049114,414006899,63883358,3,2.154305056641097,109449.21515151515,0.0,0.0,21269498,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,14,292.8421239577926,1,6852505700612346900,4294967296,6852505696317379604,0.9999999993732267,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,6852505700612346900,6852505700612346900,0,0.0,2147483600,1669593343,477890257,0.22253499724049114,414006899,63883358,3,2.154305056641097,109449.21515151515,0.0,0.0,21269498,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-OFFSET,100,18231826143518580289,15,786.107604049347,0,18394917934754718700,4294967296,18394917930459751404,0.9999999997665133,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,18394917934754718700,18394917934754718700,0,0.0,2147483600,1669593343,477890257,0.22253499724049114,414006899,63883358,3,2.154305056641097,109449.21515151515,0.0,0.0,21269498,2147483600,2147483600,0,0.0
primary,XNR-PW-MT-ZERO,100,18231826143518580289,0,10000.0,0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000000000000000,231660000000000000000,0.99,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,21474836,2126008764,0.99
primary,XNR-PW-MT-OFFSET,100,18231826143518580289,0,10000.0,0,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,2147483600,1669593343,477890257,0.22253499724049114,414006899,63883358,3,2.154305056641097,109449.21515151515,0.0,0.0,21269498,2147483600,1669593343,477890257,0.22253499724049114
primary,XNR-PC,100,18231826143518580289,0,260.8970125200615,1,6104990087283722916,4294967296,6104990082988755620,0.9999999992964825,0,0,1,0.0,0.0,0.0,0.0,0,6104990087283722916,6104990087283722916,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,1,159.78742113934013,1,3739025651178320004,4294967296,3739025646883352708,0.9999999988513137,0,0,1,0.0,0.0,0.0,0.0,0,3739025651178320004,3739025651178320004,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,2,105.99032153106444,1,2480173521517066212,4294967296,2480173517222098916,0.9999999982682796,0,0,1,0.0,0.0,0.0,0.0,0,2480173521517066212,2480173521517066212,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,3,575.8287329886148,1,13474392339384580936,4294967296,13474392335089613640,0.9999999996812496,0,0,1,0.0,0.0,0.0,0.0,0,13474392339384580936,13474392339384580936,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,4,1486.5337268944847,1,34784889176934989456,4294967296,34784889172640022160,0.9999999998765278,0,0,1,0.0,0.0,0.0,0.0,0,34784889176934989456,34784889176934989456,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,5,2108.1034116175756,1,49329619785909485100,4294967296,49329619781614517804,0.9999999999129333,0,0,1,0.0,0.0,0.0,0.0,0,49329619785909485100,49329619785909485100,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,6,33.57434547758258,1,785639683443748528,4294967296,785639679148781232,0.9999999945331589,0,0,1,0.0,0.0,0.0,0.0,0,785639683443748528,785639683443748528,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,7,450.92398239523806,1,10551621178221607000,4294967296,10551621173926639704,0.9999999995929566,0,0,1,0.0,0.0,0.0,0.0,0,10551621178221607000,10551621178221607000,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,8,263.6424026181266,1,6169232215518616472,4294967296,6169232211223649176,0.9999999993038085,0,0,1,0.0,0.0,0.0,0.0,0,6169232215518616472,6169232215518616472,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,9,879.5013257903703,1,20580331004327737944,4294967296,20580331000032770648,0.9999999997913072,0,0,1,0.0,0.0,0.0,0.0,0,20580331004327737944,20580331004327737944,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,10,1302.627073271057,1,30481473486154650636,4294967296,30481473481859683340,0.9999999998590958,0,0,1,0.0,0.0,0.0,0.0,0,30481473486154650636,30481473486154650636,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,11,63.21106748715173,1,1479138977821794980,4294967296,1479138973526827684,0.9999999970963058,0,0,1,0.0,0.0,0.0,0.0,0,1479138977821794980,1479138977821794980,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,12,761.3723452298015,1,17816112861784807100,4294967296,17816112857489839804,0.999999999758928,0,0,1,0.0,0.0,0.0,0.0,0,17816112861784807100,17816112861784807100,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,13,469.05711136218633,1,10975936395653023260,4294967296,10975936391358055964,0.9999999996086925,0,0,1,0.0,0.0,0.0,0.0,0,10975936395653023260,10975936395653023260,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,14,292.8421241025613,1,6852505697618041452,4294967296,6852505693323074156,0.9999999993732267,0,0,1,0.0,0.0,0.0,0.0,0,6852505697618041452,6852505697618041452,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PC,100,18231826143518580289,15,786.1075955747832,0,18394917719318325772,4294967296,18394917715023358476,0.9999999997665133,0,0,1,0.0,0.0,0.0,0.0,0,18394917719318325772,18394917719318325772,0,0.0,2147483600,2147483600,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,2147483600,2147483600,0,0.0
primary,XNR-PW-CONV-ZERO,100,8906286495562900921,0,66.48767622724078,1,1555811623717434400,4294967296,1555811619422467104,0.999999997239404,4294967296,4294967296,100,100.0,4294967296.0,4294967296.0,4294967296.0,4294967296,1555811623717434400,1555811623717434400,0,0.0,2147483600,21474836,2126008764,0.99,21474836,21474836,100,100.0,21474836.0,21474836.0,21474836.0,21474836,2147483600,2147483600,0,0.0
