tag,arm,N,seed,template_epochs_completed,nonce_domain_exhaustions,nonce_resets
primary,XNR-PW-MT-ZERO,100,17638313716927524985,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,17638313716927524985,544823706,54482370600,0
primary,XNR-PC,100,17638313716927524985,54482370560,5448237056000,5448237056000
primary,XNR-PW-CONV-ZERO,100,4701815876319261908,54482369800,54482369800,54482371400
primary,XNR-PW-CONV-OFFSET,100,4701815876319261908,54482369800,54482369800,0
primary,XNR-PW-MT-ZERO,100,4701815876319261908,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,4701815876319261908,544823706,54482370600,0
primary,XNR-PC,100,4701815876319261908,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,7822082833909267661,54482369400,54482369400,54482371500
primary,XNR-PW-CONV-OFFSET,100,7822082833909267661,54482369400,54482369400,0
primary,XNR-PW-MT-ZERO,100,7822082833909267661,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,7822082833909267661,544823706,54482370600,0
primary,XNR-PC,100,7822082833909267661,54482370553,5448237055300,5448237055300
primary,XNR-PW-CONV-ZERO,100,12102592183121031244,54482369600,54482369600,54482371800
primary,XNR-PW-CONV-OFFSET,100,12102592183121031244,54482369600,54482369600,0
primary,XNR-PW-MT-ZERO,100,12102592183121031244,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,12102592183121031244,544823706,54482370600,0
primary,XNR-PC,100,12102592183121031244,54482370552,5448237055200,5448237055200
primary,XNR-PW-CONV-ZERO,100,4849566379269777204,54482369700,54482369700,54482371500
primary,XNR-PW-CONV-OFFSET,100,4849566379269777204,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,4849566379269777204,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,4849566379269777204,544823706,54482370600,0
primary,XNR-PC,100,4849566379269777204,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,4171531546602603804,54482369600,54482369600,54482371300
primary,XNR-PW-CONV-OFFSET,100,4171531546602603804,54482369600,54482369600,0
primary,XNR-PW-MT-ZERO,100,4171531546602603804,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,4171531546602603804,544823706,54482370600,0
primary,XNR-PC,100,4171531546602603804,54482370555,5448237055500,5448237055500
primary,XNR-PW-CONV-ZERO,100,6773169848162830496,54482369700,54482369700,54482371300
primary,XNR-PW-CONV-OFFSET,100,6773169848162830496,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,6773169848162830496,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,6773169848162830496,544823706,54482370600,0
primary,XNR-PC,100,6773169848162830496,54482370555,5448237055500,5448237055500
primary,XNR-PW-CONV-ZERO,100,13259265031399199819,54482369500,54482369500,54482371600
primary,XNR-PW-CONV-OFFSET,100,13259265031399199819,54482369500,54482369500,0
primary,XNR-PW-MT-ZERO,100,13259265031399199819,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,13259265031399199819,544823706,54482370600,0
primary,XNR-PC,100,13259265031399199819,54482370554,5448237055400,5448237055400
primary,XNR-PW-CONV-ZERO,100,7383040523285475032,54482369500,54482369500,54482371800
primary,XNR-PW-CONV-OFFSET,100,7383040523285475032,54482369500,54482369500,0
primary,XNR-PW-MT-ZERO,100,7383040523285475032,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,7383040523285475032,544823706,54482370600,0
primary,XNR-PC,100,7383040523285475032,54482370554,5448237055400,5448237055400
primary,XNR-PW-CONV-ZERO,100,8469065342115915783,54482369500,54482369500,54482371700
primary,XNR-PW-CONV-OFFSET,100,8469065342115915783,54482369500,54482369500,0
primary,XNR-PW-MT-ZERO,100,8469065342115915783,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,8469065342115915783,544823706,54482370600,0
primary,XNR-PC,100,8469065342115915783,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,11167473384098259577,54482369800,54482369800,54482371400
primary,XNR-PW-CONV-OFFSET,100,11167473384098259577,54482369800,54482369800,0
primary,XNR-PW-MT-ZERO,100,11167473384098259577,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,11167473384098259577,544823706,54482370600,0
primary,XNR-PC,100,11167473384098259577,54482370557,5448237055700,5448237055700
primary,XNR-PW-CONV-ZERO,100,3927382471087979842,54482370000,54482370000,54482371100
primary,XNR-PW-CONV-OFFSET,100,3927382471087979842,54482370000,54482370000,0
primary,XNR-PW-MT-ZERO,100,3927382471087979842,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,3927382471087979842,544823706,54482370600,0
primary,XNR-PC,100,3927382471087979842,54482370560,5448237056000,5448237056000
primary,XNR-PW-CONV-ZERO,100,12250540210932396121,54482369800,54482369800,54482371400
primary,XNR-PW-CONV-OFFSET,100,12250540210932396121,54482369800,54482369800,0
primary,XNR-PW-MT-ZERO,100,12250540210932396121,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,12250540210932396121,544823706,54482370600,0
primary,XNR-PC,100,12250540210932396121,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,12687317089305426264,54482369900,54482369900,54482371800
primary,XNR-PW-CONV-OFFSET,100,12687317089305426264,54482369900,54482369900,0
primary,XNR-PW-MT-ZERO,100,12687317089305426264,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,12687317089305426264,544823706,54482370600,0
primary,XNR-PC,100,12687317089305426264,54482370556,5448237055600,5448237055600
primary,XNR-PW-CONV-ZERO,100,3068354826123602611,54482369600,54482369600,54482371700
primary,XNR-PW-CONV-OFFSET,100,3068354826123602611,54482369600,54482369600,0
primary,XNR-PW-MT-ZERO,100,3068354826123602611,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,3068354826123602611,544823706,54482370600,0
primary,XNR-PC,100,3068354826123602611,54482370553,5448237055300,5448237055300
primary,XNR-PW-CONV-ZERO,100,6452565723836495873,54482370000,54482370000,54482371100
primary,XNR-PW-CONV-OFFSET,100,6452565723836495873,54482370000,54482370000,0
primary,XNR-PW-MT-ZERO,100,6452565723836495873,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,6452565723836495873,544823706,54482370600,0
primary,XNR-PC,100,6452565723836495873,54482370558,5448237055800,5448237055800
primary,XNR-PW-CONV-ZERO,100,12576523555926126553,54482369700,54482369700,54482371600
primary,XNR-PW-CONV-OFFSET,100,12576523555926126553,54482369700,54482369700,0
primary,XNR-PW-MT-ZERO,100,12576523555926126553,544823706,54482370600,54482370700
primary,XNR-PW-MT-OFFSET,100,12576523555926126553,544823706,54482370600,0
primary,XNR-PC,100,12576523555926126553,54482370555,5448237055500,5448237055500
primary,XNR-PW-CONV-ZERO,100,7616672725889129548,54482370000,54482370000,54482371300
primary,XNR-PW-CONV-OFFSET,100,7616672725889129548,54482370000,54482370000,0
primary,XNR-PW-MT-ZERO,100,7616672725889129548,544823705,54482370500,54482370700
primary,XNR-PW-MT-OFFSET,100,7616672725889129548,544823706,54482370600,0
primary,XNR-PC,100,7616672725889129548,54482370559,5448237055900,5448237055900
primary,XNR-PW-CONV-ZERO,200,18231826143518580289,108964739600,108964739600,108964742800
primary,XNR-PW-CONV-OFFSET,200,18231826143518580289,108964739600,108964739600,0
primary,XNR-PW-MT-ZERO,200,18231826143518580289,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,18231826143518580289,544823706,108964741200,0
primary,XNR-PC,200,18231826143518580289,108964738585,21792947717000,21792947717000
primary,XNR-PW-CONV-ZERO,200,8906286495562900921,108964739400,108964739400,108964743400
primary,XNR-PW-CONV-OFFSET,200,8906286495562900921,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,8906286495562900921,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,8906286495562900921,544823706,108964741200,0
primary,XNR-PC,200,8906286495562900921,108964738584,21792947716800,21792947716800
primary,XNR-PW-CONV-ZERO,200,8770642015975544875,108964739400,108964739400,108964742800
primary,XNR-PW-CONV-OFFSET,200,8770642015975544875,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,8770642015975544875,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,8770642015975544875,544823706,108964741200,0
primary,XNR-PC,200,8770642015975544875,108964738583,21792947716600,21792947716600
primary,XNR-PW-CONV-ZERO,200,9576473659758073777,108964739400,108964739400,108964742800
primary,XNR-PW-CONV-OFFSET,200,9576473659758073777,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,9576473659758073777,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,9576473659758073777,544823706,108964741200,0
primary,XNR-PC,200,9576473659758073777,108964738585,21792947717000,21792947717000
primary,XNR-PW-CONV-ZERO,200,16363268894485278985,108964740200,108964740200,108964742600
primary,XNR-PW-CONV-OFFSET,200,16363268894485278985,108964740200,108964740200,0
primary,XNR-PW-MT-ZERO,200,16363268894485278985,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,16363268894485278985,544823706,108964741200,0
primary,XNR-PC,200,16363268894485278985,108964738586,21792947717200,21792947717200
primary,XNR-PW-CONV-ZERO,200,16585534704111605887,108964739400,108964739400,108964743000
primary,XNR-PW-CONV-OFFSET,200,16585534704111605887,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,16585534704111605887,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,16585534704111605887,544823706,108964741200,0
primary,XNR-PC,200,16585534704111605887,108964738583,21792947716600,21792947716600
primary,XNR-PW-CONV-ZERO,200,14790319751179523344,108964739200,108964739200,108964742600
primary,XNR-PW-CONV-OFFSET,200,14790319751179523344,108964739200,108964739200,0
primary,XNR-PW-MT-ZERO,200,14790319751179523344,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,14790319751179523344,544823706,108964741200,0
primary,XNR-PC,200,14790319751179523344,108964738582,21792947716400,21792947716400
primary,XNR-PW-CONV-ZERO,200,15311360825920276038,108964739400,108964739400,108964742400
primary,XNR-PW-CONV-OFFSET,200,15311360825920276038,108964739400,108964739400,0
primary,XNR-PW-MT-ZERO,200,15311360825920276038,544823706,108964741200,108964741400
primary,XNR-PW-MT-OFFSET,200,15311360825920276038,544823706,108964741200,0
primary,XNR-PC,200,15311360825920276038,108964738585,21792947717000,21792947717000
primary,XNR-PW-CONV-ZERO,200,10419287363523441034,108964739800,108964739800,108964742400
primary,XNR-PW-CONV-OFFSET,200,10419287363523441034,108964739800,108964739800,0
primary,XNR-PW-MT-ZERO,200,10419287363523441034,544823706,108964741200,108964741400
