tag,arm,N,seed,scope,C_exact,U_exact,R_exact,rho_exact
primary,XNR-PW-MT-ZERO,100,16585534704111605887,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,16585534704111605887,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,16585534704111605887,NR-global-run,233999999782070517776,233999999782070517776,0,0.0
primary,XNR-PC,100,16585534704111605887,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,14790319751179523344,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,14790319751179523344,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,14790319751179523344,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,14790319751179523344,NR-global-run,233999999782070517784,233999999782070517784,0,0.0
primary,XNR-PC,100,14790319751179523344,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,15311360825920276038,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,15311360825920276038,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,15311360825920276038,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,15311360825920276038,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,15311360825920276038,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,15311360825920276038,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,15311360825920276038,NR-global-run,233999999782070517776,233999999782070517776,0,0.0
primary,XNR-PC,100,15311360825920276038,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,10419287363523441034,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,10419287363523441034,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,10419287363523441034,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,10419287363523441034,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,10419287363523441034,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,10419287363523441034,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,10419287363523441034,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,10419287363523441034,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,10419287363523441034,NR-global-run,233999999782070517772,233999999782070517772,0,0.0
primary,XNR-PC,100,10419287363523441034,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,9964858435511495645,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,9964858435511495645,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,9964858435511495645,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-OFFSET,100,9964858435511495645,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-MT-ZERO,100,9964858435511495645,NR-global-run,234000000000000000000,2340000000000000000,231660000000000000000,0.99
primary,XNR-PW-MT-ZERO,100,9964858435511495645,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PW-MT-OFFSET,100,9964858435511495645,NR-global-run,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,XNR-PW-MT-OFFSET,100,9964858435511495645,NR-template-epoch,429496729600,4294967296,425201762304,0.99
primary,XNR-PC,100,9964858435511495645,NR-global-run,233999999782070517776,233999999782070517776,0,0.0
primary,XNR-PC,100,9964858435511495645,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-ZERO,100,12980243426712185825,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
primary,XNR-PW-CONV-ZERO,100,12980243426712185825,NR-template-epoch,4294967296,4294967296,0,0.0
primary,XNR-PW-CONV-OFFSET,100,12980243426712185825,NR-global-run,234000000000000000000,234000000000000000000,0,0.0
