tag,arm,N,seed,alpha_case,alpha,energy_J,energy_kWh,baseline_conv_offset_J,saving_vs_conv_offset
primary,XNR-PW-CONV-ZERO,100,2834549471034337693,LP10,0.1,3510000000.0,975.0,,
primary,XNR-PW-CONV-ZERO,100,2834549471034337693,LP25,0.25,3510000000.0,975.0,,
primary,XNR-PW-CONV-ZERO,100,2834549471034337693,LP50,0.5,3510000000.0,975.0,,
primary,XNR-PW-CONV-OFFSET,100,2834549471034337693,LP0,0.0,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-CONV-OFFSET,100,2834549471034337693,LP10,0.1,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-CONV-OFFSET,100,2834549471034337693,LP25,0.25,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-CONV-OFFSET,100,2834549471034337693,LP50,0.5,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-ZERO,100,2834549471034337693,LP0,0.0,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-ZERO,100,2834549471034337693,LP10,0.1,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-ZERO,100,2834549471034337693,LP25,0.25,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-ZERO,100,2834549471034337693,LP50,0.5,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-OFFSET,100,2834549471034337693,LP0,0.0,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-OFFSET,100,2834549471034337693,LP10,0.1,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-OFFSET,100,2834549471034337693,LP25,0.25,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PW-MT-OFFSET,100,2834549471034337693,LP50,0.5,3510000000.0,975.0,3510000000.0,0.0
primary,XNR-PC,100,2834549471034337693,LP0,0.0,3509999996.7310576,974.9999990919605,3510000000.0,9.313225746154785e-10
primary,XNR-PC,100,2834549471034337693,LP10,0.1,3509999997.057952,974.9999991827644,3510000000.0,8.381902949494702e-10
