N,arm,alpha_case,alpha,energy_J_mean,energy_kWh_mean,energy_J_sd,saving_vs_conv_offset_mean,saving_vs_conv_offset_max
300,XNR-PC,LP50,0.5,10529999872.511257,2924.9999645864605,0.0,1.2107193025912011e-08,1.2107193025912011e-08
300,XNR-PC,F_low_time,,,,,2.4214386352355556e-08,2.4214386352355556e-08
400,XNR-PW-CONV-ZERO,LP0,0.0,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-CONV-ZERO,LP10,0.1,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-CONV-ZERO,LP25,0.25,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-CONV-ZERO,LP50,0.5,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-CONV-OFFSET,LP0,0.0,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-CONV-OFFSET,LP10,0.1,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-CONV-OFFSET,LP25,0.25,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-CONV-OFFSET,LP50,0.5,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-ZERO,LP0,0.0,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-ZERO,LP10,0.1,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-ZERO,LP25,0.25,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-ZERO,LP50,0.5,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-OFFSET,LP0,0.0,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-OFFSET,LP10,0.1,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-OFFSET,LP25,0.25,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PW-MT-OFFSET,LP50,0.5,14040000000.0,3900.0,0.0,0.0,0.0
400,XNR-PC,LP0,0.0,14039999006.24163,3899.9997239560084,0.0,7.078051067477276e-08,7.078051067477276e-08
400,XNR-PC,LP10,0.1,14039999105.617468,3899.9997515604077,0.0,6.370245952957987e-08,6.370245952957987e-08
400,XNR-PC,LP25,0.25,14039999254.681223,3899.999792967006,0.0,5.308538297832399e-08,5.308538297832399e-08
400,XNR-PC,LP50,0.5,14039999503.120815,3899.9998619780044,0.0,3.539025528187523e-08,3.539025528187523e-08
400,XNR-PC,F_low_time,,,,,7.078051065813618e-08,7.078051065813618e-08
500,XNR-PW-CONV-ZERO,LP0,0.0,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-CONV-ZERO,LP10,0.1,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-CONV-ZERO,LP25,0.25,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-CONV-ZERO,LP50,0.5,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-CONV-OFFSET,LP0,0.0,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-CONV-OFFSET,LP10,0.1,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-CONV-OFFSET,LP25,0.25,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-CONV-OFFSET,LP50,0.5,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-ZERO,LP0,0.0,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-ZERO,LP10,0.1,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-ZERO,LP25,0.25,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-ZERO,LP50,0.5,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-OFFSET,LP0,0.0,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-OFFSET,LP10,0.1,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-OFFSET,LP25,0.25,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PW-MT-OFFSET,LP50,0.5,17550000000.0,4875.0,0.0,0.0,0.0
500,XNR-PC,LP0,0.0,17549999166.41977,4874.999768449936,0.0,4.7497449084943355e-08,4.7497449084943355e-08
500,XNR-PC,LP10,0.1,17549999249.777794,4874.999791604942,0.0,4.2747704043222257e-08,4.2747704043222257e-08
500,XNR-PC,LP25,0.25,17549999374.814827,4874.999826337452,0.0,3.5623086813707516e-08,3.5623086813707516e-08
500,XNR-PC,LP50,0.5,17549999583.209885,4874.999884224968,0.0,2.3748724542471678e-08,2.3748724542471678e-08
500,XNR-PC,F_low_time,,,,,4.7497449047854356e-08,4.7497449047854356e-08
